You have loaded an FP4 model on CPU and have a CUDA/XPU device available, make sure to set your model on a GPU/XPU device in order to run your model. To remove this warning, pass device_map = 'cuda' or device_map = 'xpu'. 
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s]Fetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 13849.28it/s]
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s][AFetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 19508.39it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.29it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.62it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.33it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.01it/s]
2026-07-01 19:19:25,640 sample_targets sampled 1288 / 10000
2026-07-01 19:19:28,564 sample_targets sampled 1296 / 10000
2026-07-01 19:19:31,499 sample_targets sampled 1304 / 10000
2026-07-01 19:19:34,429 sample_targets sampled 1312 / 10000
2026-07-01 19:19:37,354 sample_targets sampled 1320 / 10000
2026-07-01 19:19:40,279 sample_targets sampled 1328 / 10000
2026-07-01 19:19:43,205 sample_targets sampled 1336 / 10000
2026-07-01 19:19:46,127 sample_targets sampled 1344 / 10000
2026-07-01 19:19:49,053 sample_targets sampled 1352 / 10000
2026-07-01 19:19:51,980 sample_targets sampled 1360 / 10000
2026-07-01 19:19:54,911 sample_targets sampled 1368 / 10000
2026-07-01 19:19:57,847 sample_targets sampled 1376 / 10000
2026-07-01 19:20:00,780 sample_targets sampled 1384 / 10000
2026-07-01 19:20:03,740 sample_targets sampled 1392 / 10000
2026-07-01 19:20:06,692 sample_targets sampled 1400 / 10000
2026-07-01 19:20:09,648 sample_targets sampled 1408 / 10000
2026-07-01 19:20:12,743 sample_targets sampled 1416 / 10000
2026-07-01 19:20:15,683 sample_targets sampled 1424 / 10000
2026-07-01 19:20:18,615 sample_targets sampled 1432 / 10000
2026-07-01 19:20:21,552 sample_targets sampled 1440 / 10000
2026-07-01 19:20:24,493 sample_targets sampled 1448 / 10000
2026-07-01 19:20:27,469 sample_targets sampled 1456 / 10000
2026-07-01 19:20:30,393 sample_targets sampled 1464 / 10000
2026-07-01 19:20:33,321 sample_targets sampled 1472 / 10000
2026-07-01 19:20:36,245 sample_targets sampled 1480 / 10000
2026-07-01 19:20:39,170 sample_targets sampled 1488 / 10000
2026-07-01 19:20:42,101 sample_targets sampled 1496 / 10000
